id;color;name;brand;description;image;Estilo;Graduación;Fermentación;IBU;Lúpulos;European Brewing Convention (EBC);Maltas;Temperatura de consumo;Grano;Población;Provincia;Comunidad Autónoma;País
124;rubia;Monteña;Cerveza del Jerte;"
Monteña es una castaña de cerveza artesana, pero en el buen sentido de la palabra. Es una cerveza maravillosa, procedente del Valle del Jerte, y en la que para su preparación se ha hecho uso de las mejores castañas de esta impresionante zona extremeña.
Es una cerveza artesana ahumada y dulce, maltosa y generosa, con un leve amargor que hace de ella una cerveza muy, muy interesante.
Es una cerveza amable, que puede beberse en cualquier momento del día.
";https://static1.soloartesanas.es/1213-large_default/montena.jpg; Amber Ale;6.0;Ale;25.0;;;;6-7ºC;Cebada;Mérida;Badajoz;Extremadura;España
125;rubia;Art  Toc D'Espelta;Art Cervesers;"
Si quieres una cerveza ecológica de trigo, esta es tu cerveza. Con un toque de espelta, esta artesana que elabora Art Cerveses, es una Weizen de color amarillo. Es una cervaza turbia que ofrece una espuma muy cremosa y también persistente.
Al saborearla verás como tu paladar se llena de una refrescante y efervescente sensación, acompañada de la poca amarga textura que ofrece y un intenso sabor a cereal, que acompaña a notas de plátano maduro.
Una cerveza de trigo que acompaárá tus veladas y tus tapas a base de embutidos, anchoas, olivas,...
";https://static2.soloartesanas.es/1212-large_default/art-toc-d-espelta.jpg; Wheat Ale Ecológica;5.1;Ale;999.0;;;;;Trigo;Canovelles;Barcelona;Cataluña;España
126;rubia;Art Orus Lager;Art Cervesers;"
Poder disfrutar de una cerveza artesana es fácil, pero disfrutar de una buenísima cerveza artesana Lager como Orus de Cerveses Art, no lo es tanto. Es una cerveza de color dorado intenso con un ligero pero sublime toque herbal.
Orus Lager te ofrece un experiencia especial. Te recomendamos que la tomes bien fresca, y que incluso la metas de la nevera al congelador 10 minutos antes de disfrutarla. A eso le añades una mesa y un plato con unas aceitunas y acabas de descubrir un plano cercano al nirvana.
¡¡Qué disfrutes de una maravillosa cerveza artesana!!
";https://static3.soloartesanas.es/1211-large_default/art-orus-lager.jpg; Marzenbier;5.6;Lager;999.0;;;;;Cebada;Canovelles;Barcelona;Cataluña;España
127;rubia;Art La Indiana;Art Cervesers;"
Una cerveza exótica que tiene todo lo bueno de una gran IPA y el toque fundamental de la algarroba. La Indiana es una cerveza artesana que lleva a la máxima expresión lo que significa el equilibrio en boca. Es una cerveza de color de ámbar y que dispone en copa de una ligera espuma poco persistente.
El uso del lúpulo hace de ella una cerveza artesana herbal, más si cabe con el uso de la algarroba. A todo ello, por supuesto, hay que añadirle el amargor final con un matiz tostado que hace ella una cerveza artesana redonda.
";https://static3.soloartesanas.es/1210-large_default/art-la-indiana.jpg; IPA con algarroba;6.2;Ale;999.0;;;;8-10ºC;Cebada;Canovelles;Barcelona;Cataluña;España
128;rubia;Art Franceska;Art Cervesers;"
Franceska luce impresionante. Es una cerveza artesana lager con un aspecto dorado brillante y en la que sobresale una espuma cremosa.
Cerveza equilibrada y balanceada, con un claro predominio de la malta, levemente seca. Es una cerveza artesana fácil de beber y bien fresca, en la que apreciarás notas cítricas.
Piensa en unas patatas bravas. ¿Qué tienes justo al lado? Una cerveza artesana Art Franceska.
";https://static2.soloartesanas.es/1209-large_default/art-franceska.jpg; Steam Pilsner;5.2;Lager;999.0;;;;4-6ºC;Cebada;Canovelles;Barcelona;Cataluña;España
129;rubia;Fort Motueka;Fort;"
Fort Motueka es una cerveza de color ámbar pajizo, en cierta medida marrón, y sobre la que se posiciona una corona de espuma cremosa de color marfil.
Pasando a los aromas, cabe destacar su intensidad. Notarás en el ambiente notas herbáceas y florales, además del típico cítrico de las IPAs.
Al discurrir en tu interior notarás una cerveza dulce y seca. Como buena IPA el amargor está presente, el cual se mantiene a la par que infinidad de matices y sabores que van desde el tostado y el caramelo, hasta el limón o la uva.
";https://static2.soloartesanas.es/1205-large_default/fort-motueka.jpg; IPA Single Hop Motueka;4.9;Ale;40.0;;;;7-10ºC;Cebada;L`Hospitalet de Llobregat;Barcelona;Cataluña;España
130;rubia;Fort IPA;Fort;"
La cerveza artesana Fort IPA es una sabrosa e intensa cerveza de la que cabe destacar en este caso su marcada tendencia lupulizada, el cual se aporta en gran dosis en el proceso de elaboración.
Por tanto es una cerveza con un profundo amargor, floral y frutal.
Es una cerveza muy fácil de beber, de la que disfrutarás enormemente.
";https://static1.soloartesanas.es/1204-large_default/fort-ipa.jpg; India Pale Ale;7.0;Ale;999.0;;;;;Cebada;L`Hospitalet de Llobregat;Barcelona;Cataluña;España
131;rubia;La Quince HOP FICTION;La Quince;"
Puede que tengas ante ti una de las mejores APA (American Pale Ale) del mercado nacional, de hecho redes sociales como Untapp así lo dicen.
Es una cerveza que destaca en todos los aspectos, pero permítenos hablar en primer lugar de su espuma... ¡Qué espuma!. Blanca, cremosa y duradera. Te gusta, ¿eh?
De color anaranjado, La Quince Hop Fiction es una cerveza artesana herbal y afrutada, perfectamente equilobrada y balanceada.
Un cervezón como la copa de un pino de... Quince metros ;)
";https://static2.soloartesanas.es/2127-large_default/la-quince-hop-fiction.jpg; America Pale Ale;5.5;Ale;40.0;Centennal, Citra y Galena;;Maris Otter y Crystal;;Cebada;Madrid;Madrid;Madrid;España
132;rubia;Menduiña Barda;Menduiña;"
Elaborada con la mejor malta inglesa, Menduiña Barda se presenta como una cerveza artesana suave, de color cobre y media carbonatación.
Dispone de una marcado perfil aromático, en el que se mezcla entre el amargor una afrutada presencia. El final es largo...y amargo. Es lo que tiene hacer uso intensivo de buenos lúpulos. No por ello deja de ser muy fácil de beber.
 
";https://static2.soloartesanas.es/3126-large_default/menduina-barda.jpg; Pale Ale;5.0;Ale;32.0;;;;;Cebada;Cangas do Morrazo;Pontevedra;Galicia;España
133;rubia;Marina Summer Ale;Cervesa Marina;"
La cerveza artesana Marina Summer Ale es una fantástica y ligera para que todo el mundo disfrute de ella. Es una cerveza de color pajizo, amarillo y ligeramente turbia. Disfrutarás con solo mirarla.
Poco a poco las notas cítricas inundarán la habitación, también nostas especiadas. Ya ves que es una cerveza que se expresa sin todavía haberla probado. Pero cuando lo haces, llega la explosión de sabores. Fresca, potente, ligera, elegante. Estos son 4 adjetivos que le van como anillo al dedo.
";https://static3.soloartesanas.es/1187-large_default/marina-summer-ale.jpg; Summer Ale;6.0;Ale;999.0;;;;;Cebada;Blanes;Girona;Cataluña;España
134;rubia;Marina Pale Ale;Cervesa Marina;"
La cerveza artesana Marina Pale Ale se disfruta con todos los sentidos. Es una American Pale Ale de color entre ámbar-cobre, espuma densa y persistente.
Sentirás como aprecias notas caramelizadas, y ligeros aromas de albaricoque o higos y almíbar. Esto es al principio, luego aparecerá el lúpulo, aportando aromas resinosos.
Pasamos a lo mejor, a su degustación. Es una cerveza lupulizada y untosa, con cuerpo y seco final. Disfrutarás de sabores herbáceos, a madera y resinosos.
";https://static3.soloartesanas.es/1186-large_default/marina-pale-ale.jpg; America Pale Ale;5.0;Ale;999.0;;;;;Cebada;Blanes;Girona;Cataluña;España
135;rubia;Rondadora Blanca;Cerveza La Rondadora;"
Una cerveza artesana de trigo elaborada con cuatro maltas y cuatro lúpulos, de estilo blanche belga, y elaborada en el pirineo aragonés, con agua del pirineo, agua de Cotiella. ¿Alguien da más?
Disfrutarás en al Rondadora Blanca de una cerveza fresca y frutal, refrescante e intensa. Color claro, oro pálido, notas cítricas, herbáceas y dulces, amargor refrescante, carbonatación media, persistencia en boca y trago fácil. Como ves lo tiene todo para disfrutar de una gran rato con una cerveza especial.
Ah, y el envase es medioambientalmente sostenible.
";https://static3.soloartesanas.es/1180-large_default/rondadora-blanca.jpg; Witbier;4.5;Ale;8.0;Cascade, citra, sorachi ace, amarillo;2;Trigo, pilsner, carapils, pale ale;4-6ºC;Cebada y trigo;La Cabezonada;Huesca;Aragón;España
136;rubia;Minairons Fulla Daurada ;Els Minairons;"
La cerveza artesana Fulla Daurada es una cerveza rubia de alta fermentación elaborada por Els Minairons. 
Cerveza clara, pero con una espuma blanca que destaca.
Cuando pruebas esta cerveza artesana notas su poder refrescante y sus sabores afrutados, en los que destacan la hierba fresca y los cítricos. Es una cerveza de trago fácil.
Ideal para acompañar con pescados y quesos fuertes.
";https://static3.soloartesanas.es/1084-large_default/minairons-fulla-daurada-.jpg; Pale Ale;5.4;Ale;35.0;;;;;Cebada;Òdena;Barcelona;Cataluña;España
137;rubia;Zeta Hell;Zeta Beer;"
La Cerveza Artesana Zeta Hell es una cerveza lager, de baja fermentación. Su estilo es el de las buenas Bavarian Helles, con maltas Pilsen y Carahell usadas en el proceso de preparación de esta maravilla de cerveza
El resultado del cuidado aportado por los maestros cerveceros es el de una cerveza dorada cristalina, que no presenta turbidez, pero si una llamativa espuma cremosa y persistente que integra perfectamente con los aromas y sabores de una cerveza artesana que no olvidarás.
Pruébala, disfrutarás de un sabor suave, refrescante y fácil de beber, con un retrogusto final afrutado.
";https://static2.soloartesanas.es/1077-large_default/zeta-hell.jpg; Bavarian Helles;5.5;Lager;999.0;Mosaic, Hallertau ;;Pilsen y Carahell;;Cebada;Alboraya;Valencia;Valencia;España
138;rubia;Matoll Saüc;Matoll;"
Matoll Sauc es una de las cervezas artesanas que elabora en la comarca de L'Urgell Matoll. Es una cerveza de colo caoba, dulce y cítrica.
Aromáticamente destacan notas de flor blanca, procedente del saúco que se utiliza en su proceso de elaboración. ES lo primero que destaca de una cerveza que después deja paso cítricos y de frutas tropicales.
Es una cerveza de cuerpo medio y carbonatación media alta. Es astringente, lo cual combina perfectamente con su característico dulzor.
¿Te gusta la comida asiática? Esta es tu cerveza.
";https://static2.soloartesanas.es/1072-large_default/matoll-sauc.jpg; Ale;5.8;Ale;19.0;Pacific Gem, Amarillo, Citra, Sauco;;Pale, Trigo, Crystal;;Trigo;Belianes;Lérida;Cataluña;España
139;rubia;Matoll Blat;Matoll;"
Matoll Blat es una de las cervezas artesanas que elabora en la comarca de L'Urgell Matoll. Es su cerveza de trigo, dulce y refrescante.
Lo primero que destaca es su marcado color pajizo. Al descubrila aparecen los aromas de maltas, pan fresco, florales y de piel de limón. Cuando la pruebas notarás que es una cerveza artesana fresca, suave dulzura, cuerpo ligero y moderada carbonatación. Es una cerveza ""densa"", con leve amargura. Es una cerveza artesana que se bebe fácil gracias a su limpio sabor.
¿Te gusta el queso? Esta es tu cerveza.
";https://static3.soloartesanas.es/1071-large_default/matoll-blat.jpg; Kolsch;4.5;Ale;23.0;Saz, Pacific Gem, Tettnager, Hellertauer;;Pilsen;;Trigo;Belianes;Lérida;Cataluña;España
140;rubia;Matoll Rossa;Matoll;"
Matoll Rossa es una de las cervezas artesanas que elabora en la comarca de L'Urgell Matoll. Es su cerveza Pale Ale rubia y afrutada.
ES una cerveza de marcado color dorado, en la que destaca especialmente su sabor a malta tostada dulce, y las notas cítricas y herbáceas. Es una cerveza artesana de cuerpo ligero/medio con una carbonatación moderada. También notarás un sabor que recuerda al de la piel de naranja, apareciendo en el retrogusto sabores de fruta madura y roja.
¿Te gusta la cerveza? Esta es tu cerveza, la cerveza artesana que gusta a todo el mundo
";https://static3.soloartesanas.es/1069-large_default/matoll-rossa.jpg; Pale Ale;5.5;Ale;26.0;Golding, Willamette, Mount Hood;;Pale, Crystal, Pilss y Carapills;;Cebada;Belianes;Lérida;Cataluña;España
141;rubia;L'Ombria Blat;L'Ombria;"
L'Ombria Blat es una cerveza de trigo, de estilo Weizenbier, que ha sido elaborada artesanalmente con malta de trigo y cebada, agua, lúpulo y levadura de cerveza. Los cítricos destacan y le aportan un carácter afrutado y refrescante.
Es una cerveza artesana turbia, dorada y espuma blanca. Aromáticamente destacan las notas a manzana, levadura, flor blanca de azahar y por supuesto cítricos. Cuando la pruebas notas un bajo y agradable dulzor amargo que deja una sensación retro-nasal agradable y un post-gusto medio.
";https://static3.soloartesanas.es/1067-large_default/l-ombria-blat.jpg; Weizebier;4.6;Ale;11.0;;6.6;;7-10ºC;Trigo;Vallada;Valencia;Valencia;España
142;rubia;Sevebrau Ex 1 IPA;Cervezas Sevebrau;"
Lo primero que se debe mencionar es que fue galardonada con la medalla de bronce en el ""International beer Shanghai festival 2014″, en la categoría de “Pale Ale and IPA"".
Sevebrau exIPA es la cerveza IPA de la micro Sevebrau. Es una cerveza con cierta turbidez y su color es marcadamente anaranjado. Resulta una cerveza amarga, destacando sus 80 IBUs de amargor. A su vez es una cerveza armónica y dulce, en la que notarás sus aromas florales.
Una India Pale Ale para los amantes de la cerveza artesana con carácter.
";https://static3.soloartesanas.es/1024-large_default/sevebrau-exipa.jpg; IPA;7.0;Ale;80.0;;;;;Cebada;Villanueva de la Serena;Badajoz;Extremadura;España
143;rubia;Sevebrau Weizen Trigo;Cervezas Sevebrau;"
Sevebrau Weizen es la cerveza de trigo elaborada por esta microcervecería extremeña. Desde Villanueva de la Serena te ofrecen una auténtica delicia artesana. Se asemeja a las mejores cervezas clásicas de Sevebrau.
Es una cerveza artesana muy ligera y aromatica. ¿Qué sabores te ofrece? Entre ellos destacan clavo, plátano maduro y pan.
Ideal para cualqueir época del año, aunque está especialmente indicada en momentos de intenso calor. Refresca como pocas
";https://static2.soloartesanas.es/1021-large_default/sevebrau-weizen-trigo.jpg; Weizen Weissbier;5.8;Ale;999.0;;;;;Trigo;Villanueva de la Serena;Badajoz;Extremadura;España
144;rubia;Mica Oro;Cervezas Mica;"
La cerveza artesana Mica Oro es una cerveza premium, gourmet. Recibe el nombre del color con el que hace acto de presencia: Oro, amarillo intenso y brillante.
A su vez es una cerveza artesana intensa en sabores, fresca y con un moderado toque tostado en boca, tras los cuales se presentan intesos retrogustos frutales: Manzana y cítricos.
Una cerveza artesana elaborada con cebada cultivada en las tierras más altas de la Ribera del Duero. Una cervevza diferente con la que disfrutarás del momento.
";https://static2.soloartesanas.es/1083-large_default/mica-oro.jpg; Blonde Ale;4.7;Ale;999.0;;;;;Cebada;Aranda de Duero;Burgos;Castilla y León;España
145;rubia;Queen´s Vier;Cervezas Vier;"
Ante tienes una cerveza artesana de estilo Weizenbock. Es una cerveza de trigo con una graduación mayor de lo establecido, en este caso de 7.9% de alcohol.
Queen's Vier es la reina de las cervezas de la cervera Vier. Es de color ámbar oscuro, con espuma blanca abundante y persistente. Notarás como predominan los aromas a plátano y leves toques de trigo.
Es una cerveza dulce al paladar en la que destaca marcadamente su malta de trigo, haciendo de ella una cerveza con gran cuerpo. Cabe destacar que tan apenas se hace notar el alto contenido de alcohol. 
";https://static1.soloartesanas.es/1008-large_default/queens-vier.jpg; WeizenBock;7.9;Ale;999.0;;;;6-12ºC;Trigo;Valladolid;Valladolid;Castilla y León;España
146;rubia;Vier IPA;Cervezas Vier;"
Ante tienes una cerveza artesana de estilo India Pale Ale, o lo que es lo mismo, una cerveza amarga y lupulizada.
Vier IPA ha sido elaborada con 5 tipos de lúpulo procedentes de USA, Inglaterra y Nueva Zelanda. Dispone de un colo ámbar e intensa y duradera espuma blanca. Por supuesto, es una cerveza intensa en aromas, mezcla de afrutados y florales con recuerdos a resina de pino, caramelo, y pan tostado. En boca es una cerveza bastante amarga y con cuerpo.
No dejará indiferente a nadie. 
Ha sido elegida como por el jurado de la ""Asturias Summer Beer Festival"" como mejor cerveza de 2014.
";https://static3.soloartesanas.es/1006-large_default/vier-ipa.jpg; India Pale Ale;999.0;Ale;999.0;;;;8-12ºC;Cebada;Valladolid;Valladolid;Castilla y León;España
147;rubia;Vier Trigo;Cervezas Vier;"
Ante tienes una cerveza artesana de estilo Hefe Weizen, o lo que es lo mismo, una cerveza de trigo de alta fermentación y estilo alemán.
Vier Trigo ha sido elaborada con malta de trigo y varias maltas de cebada, además de lúpulos nobles procedentes de Alemania. El resultado es el de una cerveza dorada, con espuma blanca abundante y persistente. Aromaticamente es fresca, con aporte de cereal (trigo y también aparece pan recién hecho). También las notas cítricas dejan hacerse notar auqnue con menor intensidad.
En definitiva, es una cerveza poco amarga y muy refrescante.
";https://static1.soloartesanas.es/1005-large_default/vier-trigo.jpg; Hefe Weizen;5.8;Ale;999.0;;;;6-10ºC;Trigo;Valladolid;Valladolid;Castilla y León;España
148;rubia;Moon Pale Ale;Cervesa Artesana Moon;"
Ante ti tienes una cerveza de alta fermentación y de estilo Pale Ale, elaborada con tres maltas y lípulo monovarietal cascade.
Moon Pale Ale, en consecuencia, dispone de un color ambar oscuro y espuma de color crema, con una corrrecta retención. En nariz destacan las maltas torrefactas, con notas de mandarina, caramelo y café. Aunque poco a poco la cerveza se va abriendo dando notas en nariz mas frescas con recuerdos minerales.
El carbónico es intenso, y su sabor es intenso, con toques resinosos y amargos combinados con un final algo seco que te incita a beber de nuevo.
¡Qué la disfrutes!
";https://static1.soloartesanas.es/994-large_default/moon-pale-ale.jpg; Pale Ale;5.0;Ale;999.0;;;Cascade;;Cebada;Lliça d'Amunt;Barcelona;Cataluña;España
149;rubia;Quer Blat;Quer Beer;"
Cintra es la cerveza artesana de trigo que elabora Quer Beer. Es una Weissbier en la que destacan los sabores a malta, trigo, frutas, miel y caramelo.
Cuando la pruebes te darás cuenta que el final es intenso y persistente, con las maltas rpesentes sin ningún grado de acidez
Es una cerveza aromática y equilibrada. Si te gusta la cerveza de trigo, te gustará Quer Blat.
";https://static3.soloartesanas.es/988-large_default/quer-blat.jpg; Weissbier;4.5;Ale;12.0;;10-15;Pale, Wheat malta y carapils;;Trigo;Berga;Barcelona;Cataluña;España
150;rubia;Cibeles Trigo;Cervezas La Cibeles;"
La cerveza artesana Cibeles Trigo es una cerveza de con abundante espuma y sabores suaves y refrescantes..
En su elaboración se usa una mezcla a partes iguales de malta de cebada de dos carretas con malta de trigo con espuma blanca, generosa y duradera a causa de la proteína del trigo, sorprende su cuerpo ligeramente amargo, lo que junto a su carbonatación y al bajo contenido alcohólico la hacen ideal para apagar la sed en los días más calurosos de verano.
La cerveza perfecta para aquellos que desean pasar un buen rato disfrutando de una cerveza artesana de trigo, suave y sabrosa.
";https://static1.soloartesanas.es/975-large_default/cibeles-trigo.jpg; Witbier;4.5;Ale;999.0;;;;;Trigo;Madrid;Madrid;Madrid;España
151;rubia;Cibeles Imperial IPA;Cervezas La Cibeles;"
La cerveza artesana Cibeles Imperial IPA es una cerveza de estilo Indian Pale Ale fuerte e intensa.
Con 70 Ibus y abundante lúpulo aromáticos, es la reina de los aromas en La Cibeles. Cuando se prueba deja a su paso un intenso sabor amargo que permanece arropado por notas a uvas y a vino blanco.
La cerveza perfecta para aquellos que desean pasar un buen rato disfrutando de una cerveza artesana IPA, IPA. Una cerveza no apta para todos, sólo para los buenos amantes de la cerveza amarga.
";https://static3.soloartesanas.es/974-large_default/cibeles-imperial-ipa.jpg; Imperial IPA;7.0;Ale;70.0;;;;;Cebada;Mdrid;Madrid;Madrid;España
152;rubia;Cibeles IPA Dryhopping;Cervezas La Cibeles;"
La cerveza artesana Cibeles Dry es una cerveza de estilo Indian Pale Ale cítrica y afrutada.
Por supuesto no puede no estar presente un marcado amargor y una densa espuma. Por todo ello hacen de esta cerveza un placer para los sentidos del olfato y gusto. Ha sido elaborada con cinco tipos de lúpulos. El de León le aporta el amargor que junto con los lúpulos aromáticos, americanos y neozelandeses, resultan en una exitosa combinación que no satura el paladar
La cerveza perfecta para aquellos que desean pasar un buen rato disfrutando de una cerveza artesana IPA.
";https://static1.soloartesanas.es/973-large_default/cibeles-ipa-dryhopping.jpg; American IPA;5.1;Ale;999.0;;;;;Cebada;Madrid;Madrid;Madrid;España
153;rubia;Cibeles Rubia;Cervezas La Cibeles;"
La cerveza artesana Cibeles rubia es una cerveza de estilo Pale Ale que resulta muy, muy ligera y refrescante.
Ofrece cierto aroma a lúpulos florales y un ligero retrogusto a cítricos.
La cerveza perfecta para aquellos que desean pasar un buen rato disfrutando de una cerveza suave y artesana.
";https://static2.soloartesanas.es/972-large_default/cibeles-rubia.jpg; Pale Ale;4.5;Ale;999.0;;;;;Cebada;Madrid;Madrid;Madrid;España
154;rubia;Maier Aniversario;Cerveza Maier;"
La Cerveza Artesana Maier Aniversario es el homenaje que estos cerveceros gaditanos se han hecho así mismos, y para ti, celebrando el aniversario de la elaboración de su primera cerveza artesana.
Es una cerveza dulce con aromas profundamente intensos a lúpulos. Una Imperial IPA no puede ser de otra forma, es fuerte, potente, intensa.
¡Sabor gaditano!
Disfruta de la cerveza artesana de Cádiz.
";https://static2.soloartesanas.es/970-large_default/maier-aniversario.jpg; Imperial Pale Ale;8.0;Ale;56.0;;25;;7-10ºC;Cebada;Cádiz;Cádiz;Andalucía;España
155;rubia;Maier Triple Dorada;Cerveza Maier;"
La Cerveza Artesana Maier Triple Dorada es la segunda creación de Maier.
Es una cerveza de trigo al estilo de las cervezas de trigo bávaras. Esta cerveza tiene un sabor ligeramente afrutado y con un fondo especiado. El trigo le otorga un característico perfil a esta cerveza única, sabor a grano, a pan recién horneado a banana, clavo o vainilla. Cerveza ácida, espumosa y ligera ideal para calmar la sed.
¡Sabor gaditano!
Disfruta de la cerveza artesana de Cádiz.
";https://static3.soloartesanas.es/969-large_default/maier-triple-dorada.jpg; Weizen;4.3;Ale;28.0;;12;;;Trigo;Cádiz;Cádiz;Andalucía;España
156;rubia;Gothia Launia Flor Fresca;Gothia Launia;"
Guillem Laporta desarrolla una nota de cata muy interesante sobre esta cerveza: Gothia Launia Flor Seca.
Como buen IPA presenta un color ámbar y un potente aroma. Con una espuma muy abundante y nacarada y  una burbuja fina y lenta, lo cual es el claro síntoma de una larga maduración en bodega. Cuando la pruebas notas esa dulzura inicial que deja paso a un amargor muy fresco. Es una cerveza con bastante cuerpo.
Pasando a los aromas retro nasales, cabe destacar la vegetación húmeda, y algo de balsámico, flores, lácticos y crema.
Es una cerveza larga, compleja y sorprendente.
";https://static3.soloartesanas.es/963-large_default/gothia-launia-flor-fresca.jpg; IPA;6.2;Ale;40.0;Nugget;25;Pale Ale, Crystal y Black malt.;6ºC;Cebada;Barcelona;Barcelona;Cataluña;España
157;rubia;Maier Pale Ale;Cerveza Maier;"
La Cerveza Artesana Maier Pale Ale es la hija mayor de la cervecera. Es la primera de la saga Maier.
Es una American Pale Ale muy equilibrada y suave, de color ámbar, agradable aroma con notas florales, sabor a malta profundo y dulce gracias a la miel de la sierra de Cádiz, amargor suave.
¡Sabor gaditano!
";https://static2.soloartesanas.es/962-large_default/maier-pale-ale.jpg; America Pale Ale;4.5;Ale;29.0;;19;;7-9ºC;Cebada;Cadiz;Cádiz;Andalucía;España
158;rubia;Gothia Launia IPA;Gothia Launia;"
Guillem Laporta hace una nota de cata muy interesante sobre esta cerveza: Gothia Launia IPA.
Como buena IPA presenta un color ámbar. El aroma es potente, evocando a frutas, principalmente melocotón muy maduro, frutas rojas, exóticas.
Es una cerveza que evoluciona en la copa y después de unos minutos los aromas se definen aún más. En boca se nota un dulzor intenso al principio, que da paso a un amargor también intenso pero muy maduro, nada duro. Los aromas retro nasales corresponden a más fruta.
Es una cerveza larga que nos llena los sentidos
";https://static3.soloartesanas.es/960-large_default/gothia-launia-ipa.jpg; IPA;5.8;Ale;44.0;Summit, Celeia y Nugget;25;Pale Ale, Crystal y Black malt.;6ºC;Cebada;Barcelona;Barcelona;Cataluña;España
159;rubia;SanFrutos Trigo  ;Cervezas SanFrutos;"
SanFrutos Trigo es la cerveza de alta fermentacion, Weizen de San Frutos.
Es una artesana intensamente aromática, muy sabrosa y plena de matices. Se muestra turbia, de color dorado. Disfrutarás de sus aromas especiados, dulces y de fruta madura. Verás como aporta su frescor y complejidad, siendo ideal para tomar sola o acompañando casi cualquier tipo de comida.
Ésta es una cerveza de calidad, viva y natural, elaborada de forma artesanal con los mejores ingredientes. No dejes pasar un día sin disfrutar de esta cerveza artesana.
";https://static2.soloartesanas.es/952-large_default/sanfrutos-trigo-.jpg; Weizen;5.7;Ale;999.0;;;;;Trigo;Segovia;Segovia;Castilla y León;España
160;rubia;Milana Trigo;Cerveza Milana;"
Milana Trigo es una cerveza artesana rubia, de trigo, evidentemente. Cuando la pruebas te das cuenta de que es sumamente refrescante e intensamente aromática, especialmente destacando las notas frutales y herbales. Y claro está, el amargor hace presencia para que disfrutes completamente de ella.
Su frescura y el puntode amargor de Milana Trigo la convierten en una opción ideal como aperitivo.
Disfrútala solo o en compañía. Lo hagas como lo hagas, el placer está garantizado.
";https://static3.soloartesanas.es/944-large_default/milana-trigo.jpg; Witbier;5.1;Ale;27.0;;;;;Trigo;Montemayor de Pililla;Valladolid;Castilla y León;España
161;rubia;Milana Bonita;Cerveza Milana;"
Milana Bonita es una cerveza artesana dorada, Pale Ale, elaborada con tres variedades de malta y cinco de lúpulo. Es una cerveza  que resulta ligera y suave al paladar, con un sorprendente aroma y elegante amargor. Los aromas que desprende llevan acompañados notas frutales y de flores.
Disfrútala solo o en compañía. Lo hagas como lo hagas, el placer está garantizado.
";https://static3.soloartesanas.es/943-large_default/milana-bonita.jpg; Pale Ale;6.1;Ale;38.0;Bobek, centennial, cascade, amarillo/citra y southern cross;;;;Cebada;Montemayor de Pililla;Valladolid;Castilla y León;España
162;rubia;La Pirata La Tremenda;Cerveses La Pirata;"
La cerveza artesana La Tremenda de Cerveses La Pirata es una cerveza de estilo Imperial IPA. Es una cerveza... para los buenos cerveceros. Y es que sus 120 IBUs hacen de ella extraordinariamente amarga. Lúpuo, lúpulo y más lúpulo.
Pocas cervezas hay como esta. Amarga, potente, especial. No te la puedes perder si eres un cervecero de los que el amargor es su forma de entender la cerveza.
Una Imperial IPA para los buenos amantes de las IPAs. Es una cerveza con la que se despertarán todos tus sentidos.
";https://static3.soloartesanas.es/918-large_default/la-pirata-la-tremenda.jpg; Imperial IPA;8.5;Ale;120.0;;16;;;Cebada;Suria;Barcelona;Cataluña;España
163;rubia;La Pirata Súria;Cerveses La Pirata;"
La cerveza artesana Súria de Cerveses La Pirata es una cerveza de estilo American Pale Ale. Es una cerveza suave, para todo tipo de piratas. Es de color anaranjado, ligera y fresca. El amargor es moderado, y por ello, junto con sus aromas herbales, hacen de ella una cerveza artesana apta para el disfrute de todo el mundo.
Una cerveza pirata para todos. ¡Qué la disfrutes!
";https://static1.soloartesanas.es/3335-large_default/la-pirata-suria.jpg; America Pale Ale;5.0;Ale;30.0;;12;;;Cebada;Súria;Barcelona;Cataluña;España
164;rubia;Quijota Rubia;Cervezas Quijota;"
Jose Luis Rodriguez Ferrando es el nombre del maestro cervecero de Quijota Rubia. Es una cerveza artesana de alta fermentación, suave y refrescante que presenta un color dorado y una gran transparencia. Al haber sido almacenada en frío su aspecto visual es similar al de una Pilsen o Lager. En el paladar notarás el toque afrutado y de una amplia gama de matices de sabor y aromas.
Es el resutlado de la fusión de dos zonas: cebadas manchegas y lúpulos nobles alemanes.
Prueba y disfruta de la cerveza artesana de Albacete
";https://static2.soloartesanas.es/2402-large_default/quijota-rubia.jpg; Kölsch;4.8;Ale;25.0;;;;;Cebada;Albacete;Albacete;Castilla-La Mancha;España
165;rubia;Dougall's Invierno;Dougall's;"
Dougall's Invierno es la cerveza de la temporada fría que elabora esta cervecera cántabra. Es una English Wnter Ale amarga, para disfrutar resguardado mientras ves caer los grados a tu alrededor.
Es una cerveza seca y dulce de cuerpo medio que se disfruta cuando se disfruta. El final, importante, es largo y ligeramente amargo.
Es una cerveza equilibrada, con sabores a fruta madura que hacen de ella una auténtica tentación.
 
";https://static2.soloartesanas.es/905-large_default/dougall-s-invierno.jpg; English Winter Ale;6.7;Ale;45.0;Cascade, Willametter, Warrior;34;Maris Otter, Crystal;8-12ºC;Cebada;Liérganes;Cantabria;Cantabria;España
